record_id,evidence_date,evidence_date_descriptive,large_area,small_area,scientific_name,common_name,id_quality,evidence_type,collision_evidence,strike_result,other_info,vessel_type,scientific_name_clean,species_status,species_analysis_name,id_quality_clean,analysis_confidence,evidence_type_clean,evidence_context,strike_result_clean,outcome_known,fatal_outcome,fatal_label,vessel_type_clean,vessel_category,large_area_clean,ocean_basin,date_description_clean,date_precision,year_start,year_end,analysis_year,year_source,analysis_decade,include_species_frequency,include_species_fatality,include_confirmed_species,include_vessel_outcome,include_region_outcome
1,2004-12-10T00:00:00Z,NA,Pacific Ocean - South,Ecuador,Balaenoptera omurai,Omura’s whale,Confirmed,Collision,Fresh carcass; skin mostly intact. Massive haematoma on flank,Death,Félix confirmed firsthand antemortem strike; examined whale on bow at Guayaquil port. See Félix and Van Waerebeek. Ship speed dropped from 18.5 to 16.8 kn without obvious reason until whale was found.,Container ship,Balaenoptera omurai,Identified to species,Balaenoptera omurai,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Container ship,Cargo or tanker,Pacific Ocean - South,Pacific Ocean,NA,Exact date,2004,2004,2004,Exact date,2000s,TRUE,TRUE,TRUE,TRUE,TRUE
2,NA,1992,Atlantic Ocean - South,Southern Brazil,Eubalaena australis,southern right whale,Indeterminate,Collision,NA,NA,Collided with trawler,Not known,Eubalaena australis,Identified to species,Eubalaena australis,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Atlantic Ocean - South,Atlantic Ocean,1992,Descriptive year,1992,1992,1992,Descriptive date,1990s,TRUE,FALSE,FALSE,FALSE,FALSE
3,NA,August 1989,Pacific Ocean - South,"Between mainland and Galapagos, Ecuador",NA,Unidentified large whale,Indeterminate,Collision,Damage to sailboat,Not known,Sailboat struck. See Félix and Van Waerebeek 2005,Not known,NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,august 1989,Descriptive year,1989,1989,1989,Descriptive date,1980s,FALSE,FALSE,FALSE,FALSE,FALSE
4,NA,August 2001,Pacific Ocean - South,"Near La Plata Island, Ecuador",Megaptera novaeangliae,humpback whale,Confirmed,Collision,Direct observation from fishing boat,Not known,Collision with Ecuador open fishing boat,Open fishing boat,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Open fishing boat,Fishing or whaling,Pacific Ocean - South,Pacific Ocean,august 2001,Descriptive year,2001,2001,2001,Descriptive date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
5,1993-09-11T00:00:00Z,NA,Pacific Ocean - South,"Outer Waitemata harbour, New Zealand",Orcinus orca,killer whale,Confirmed,Collision,"Direct observation, animal hit by propeller",Death,Boat propeller strikes juvenile killer whale and presumably kills it,Not known,Orcinus orca,Identified to species,Orcinus orca,Confirmed,Confirmed identification,Collision,Reported collision,Death,TRUE,1,Fatal,Unknown,Unknown,Pacific Ocean - South,Pacific Ocean,NA,Exact date,1993,1993,1993,Exact date,1990s,TRUE,TRUE,TRUE,FALSE,TRUE
6,1995-02-16T00:00:00Z,NA,Pacific Ocean - South,"Tweed River, New South Wales, Australia",Tursiops truncatus,Common bottlenose dolphin,Unconfirmed,Collision,Direct observation,Severe external visible injury,"T. truncatus (adult female) hit by propeller Gill Slocum and Phillip Tracey, Gov. Australia",Open fishing boat,Tursiops truncatus,Identified to species,Tursiops truncatus,Unconfirmed,Not confirmed or missing,Collision,Reported collision,Severe injury,TRUE,0,Non-fatal known outcome,Open fishing boat,Fishing or whaling,Pacific Ocean - South,Pacific Ocean,NA,Exact date,1995,1995,1995,Exact date,1990s,TRUE,TRUE,FALSE,TRUE,TRUE
7,2001-06-22T00:00:00Z,NA,Pacific Ocean - South,"Lower Hawesbury R., New South Wales, Australia",Megaptera novaeangliae,humpback whale,Confirmed,Collision,Direct observation,Not known,"Seriously wounded humpback whale in Australia. Gill Slocum and Phillip Tracey, Gov. of Australia",Open fishing boat,Megaptera novaeangliae,Identified to species,Megaptera novaeangliae,Confirmed,Confirmed identification,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Open fishing boat,Fishing or whaling,Pacific Ocean - South,Pacific Ocean,NA,Exact date,2001,2001,2001,Exact date,2000s,TRUE,FALSE,TRUE,FALSE,FALSE
8,2004-11-12T00:00:00Z,NA,Pacific Ocean - South,"E.side of Bruny I. between Bull Bay and Yellow Bluff, Australia",Unidentified cetacean,NA,Indeterminate,Collision,Direct observation. Whale was hit by 6m dinghy with 70hp engine,Indeterminate visible injury,Whale hit by aluminium dinghy,Dinghy,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Indeterminate injury,TRUE,0,Non-fatal known outcome,Dinghy,Recreational or small craft,Pacific Ocean - South,Pacific Ocean,NA,Exact date,2004,2004,2004,Exact date,2000s,FALSE,FALSE,FALSE,TRUE,TRUE
9,NA,1877,Atlantic Ocean - North,"Narragansett Bay, Rhode Island, USA",NA,Unidentified small whale,Indeterminate,Collision,"The captain reported that ‘‘by some curious accident’’ a small whale, possibly a minke whale or small fin whale, became caught between the ship’s propeller and stern while the ship lay at dock (Laist et al 2001)",Death,"A small whale, possibly a minke whale or small fin whale, became caught between the ship’s propeller and stern while the ship lay at dock. When engine started, whale was mortally injured by propeller",Motor yacht (unknown size),NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Motor yacht (unknown size),Recreational or small craft,Atlantic Ocean - North,Atlantic Ocean,1877,Descriptive year,1877,1877,1877,Descriptive date,1870s,FALSE,FALSE,FALSE,TRUE,TRUE
10,NA,June 1904,Atlantic Ocean - North,"New England, USA",Unidentified cetacean,NA,Indeterminate,Collision,NA,NA,"Sail vessel strikes a whale in New England, 1904. Allen (1916) mentioned by Laist et al. (2001)",Sailing yacht (unknown size),Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Sailing yacht (unknown size),Recreational or small craft,Atlantic Ocean - North,Atlantic Ocean,june 1904,Descriptive year,1904,1904,1904,Descriptive date,1900s,FALSE,FALSE,FALSE,FALSE,FALSE
11,NA,May 1885,Atlantic Ocean - North,"US East Coast, 32 km East of Nantucket, USA",NA,Unidentified large whale,Indeterminate,Collision,NA,Not known,"The vessel’s port bow suddenly collided with a large whale (Original report from a newspaper). Looking back they saw the whale rolling about as if in distress. Allen (1916), cited in Table 1 and 2 in Laist et al. 2001",Motor yacht (unknown size),NA,Missing scientific name,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Motor yacht (unknown size),Recreational or small craft,Atlantic Ocean - North,Atlantic Ocean,may 1885,Descriptive year,1885,1885,1885,Descriptive date,1880s,FALSE,FALSE,FALSE,FALSE,FALSE
12,NA,1896,Atlantic Ocean - North,"Off Sandy Hook, New Jersey, USA",Physeter macrocephalus,sperm whale,Unconfirmed,Collision,See Schmitt (1979),Death,"Probable sperm whale killed off Sandy Hook, NJ in 1896. Schmitt (1979), cited by Laist et al. (2001)",Passenger vessel,Physeter macrocephalus,Identified to species,Physeter macrocephalus,Unconfirmed,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Passenger vessel,Passenger or ferry,Atlantic Ocean - North,Atlantic Ocean,1896,Descriptive year,1896,1896,1896,Descriptive date,1890s,TRUE,TRUE,FALSE,TRUE,TRUE
13,NA,1903,Atlantic Ocean - North,"Placentia Bay, Newfoundland, Canada",Unidentified cetacean,NA,Indeterminate,Collision,See Allen (1916) cited by Laist et al. (2001),Not known,Unidentified whale hit steamship in Newfoundland (1903). See Allen (1916) cited by Laist et al. (2001),Motor yacht (unknown size),Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Motor yacht (unknown size),Recreational or small craft,Atlantic Ocean - North,Atlantic Ocean,1903,Descriptive year,1903,1903,1903,Descriptive date,1900s,FALSE,FALSE,FALSE,FALSE,FALSE
14,NA,1904,NA,NA,Unidentified cetacean,NA,Indeterminate,Collision,NA,Not known,Collision with unidentified whale in Atlantic Ocean. Anonymous report cited by Laist et al. (2001),Passenger vessel,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Unknown,FALSE,NA,Unknown outcome,Passenger vessel,Passenger or ferry,Unknown,Unknown,1904,Descriptive year,1904,1904,1904,Descriptive date,1900s,FALSE,FALSE,FALSE,FALSE,FALSE
15,NA,1908,Atlantic Ocean - North,"Off Newfoundland, Canada",Unidentified cetacean,NA,Indeterminate,Collision,See Schmitt (1979) cited by Laist et al. (2001),Death,A whale probably killed by collision off Newfoundland in 1908.Schmitt (1979) cited by Laist et al. (2001),Passenger vessel,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Passenger vessel,Passenger or ferry,Atlantic Ocean - North,Atlantic Ocean,1908,Descriptive year,1908,1908,1908,Descriptive date,1900s,FALSE,FALSE,FALSE,TRUE,TRUE
16,NA,1908,Atlantic Ocean - North,"Off Newfoundland, Canada",Unidentified cetacean,NA,Indeterminate,Collision,Anonymous report cited by Laist et al. (2001),Death,Unidentified whale killed by liner in Newfoundland in 1908. Anonymous report cited by Laist et al. (2001),Passenger vessel,Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Passenger vessel,Passenger or ferry,Atlantic Ocean - North,Atlantic Ocean,1908,Descriptive year,1908,1908,1908,Descriptive date,1900s,FALSE,FALSE,FALSE,TRUE,TRUE
17,NA,1910,Atlantic Ocean - North,Not known,Unidentified cetacean,NA,Indeterminate,Collision,Anonymous report cited by Laist et al. (2001),Death,Unidentified whale killed by a steamship in the North Atlantic in 1910. Anonymous report cited by Laist et al. (2001),Motor yacht (unknown size),Unidentified cetacean,Unidentified cetacean,NA,Indeterminate,Not confirmed or missing,Collision,Reported collision,Death,TRUE,1,Fatal,Motor yacht (unknown size),Recreational or small craft,Atlantic Ocean - North,Atlantic Ocean,1910,Descriptive year,1910,1910,1910,Descriptive date,1910s,FALSE,FALSE,FALSE,TRUE,TRUE
