record_id,evidence_date,evidence_date_descriptive,date_precision,year_start,year_end,analysis_year,year_source
484,NA,Before May 2007,Before specified date,NA,2007,NA,No single usable year
423,NA,before 1982,Before specified date,NA,1982,NA,No single usable year
287,NA,before 1998,Before specified date,NA,1998,NA,No single usable year
19,NA,1912-1915,Date range,1912,1915,NA,No single usable year
23,NA,1940-1945,Date range,1940,1945,NA,No single usable year
57,NA,Between November 1972 and February 1973,Date range,1972,1973,NA,No single usable year
103,NA,1981-1982,Date range,1981,1982,NA,No single usable year
223,NA,1930's,Decade only,1930,1939,NA,No single usable year
21,NA,Mid 1930s,Decade only,1930,1939,NA,No single usable year
162,NA,late 1980's,Decade only,1980,1989,NA,No single usable year
9,NA,1877,Descriptive year,1877,1877,1877,Descriptive date
134,NA,1885,Descriptive year,1885,1885,1885,Descriptive date
11,NA,May 1885,Descriptive year,1885,1885,1885,Descriptive date
12,NA,1896,Descriptive year,1896,1896,1896,Descriptive date
13,NA,1903,Descriptive year,1903,1903,1903,Descriptive date
14,NA,1904,Descriptive year,1904,1904,1904,Descriptive date
10,NA,June 1904,Descriptive year,1904,1904,1904,Descriptive date
15,NA,1908,Descriptive year,1908,1908,1908,Descriptive date
16,NA,1908,Descriptive year,1908,1908,1908,Descriptive date
17,NA,1910,Descriptive year,1910,1910,1910,Descriptive date
18,NA,1913,Descriptive year,1913,1913,1913,Descriptive date
20,NA,1926,Descriptive year,1926,1926,1926,Descriptive date
22,NA,1940,Descriptive year,1940,1940,1940,Descriptive date
24,NA,1950,Descriptive year,1950,1950,1950,Descriptive date
36,NA,August 1952,Descriptive year,1952,1952,1952,Descriptive date
133,NA,August 1952,Descriptive year,1952,1952,1952,Descriptive date
39,NA,Fall 1953,Descriptive year,1953,1953,1953,Descriptive date
222,NA,fall 1953,Descriptive year,1953,1953,1953,Descriptive date
97,NA,1958,Descriptive year,1958,1958,1958,Descriptive date
100,NA,1960,Descriptive year,1960,1960,1960,Descriptive date
43,NA,February 1960,Descriptive year,1960,1960,1960,Descriptive date
44,NA,September 1961,Descriptive year,1961,1961,1961,Descriptive date
45,NA,1963,Descriptive year,1963,1963,1963,Descriptive date
220,NA,1963,Descriptive year,1963,1963,1963,Descriptive date
138,NA,July 1967 (day not known),Descriptive year,1967,1967,1967,Descriptive date
47,NA,"July 1967, after dark",Descriptive year,1967,1967,1967,Descriptive date
101,NA,"1970, no precise date",Descriptive year,1970,1970,1970,Descriptive date
56,NA,March 1972,Descriptive year,1972,1972,1972,Descriptive date
219,NA,March 1972,Descriptive year,1972,1972,1972,Descriptive date
132,NA,winter 1972,Descriptive year,1972,1972,1972,Descriptive date
330,NA,"April 1973, day not known",Descriptive year,1973,1973,1973,Descriptive date
58,NA,October 1973,Descriptive year,1973,1973,1973,Descriptive date
193,NA,October 1973,Descriptive year,1973,1973,1973,Descriptive date
51,NA,Late 1974,Descriptive year,1974,1974,1974,Descriptive date
202,NA,1979,Descriptive year,1979,1979,1979,Descriptive date
54,NA,August 1984,Descriptive year,1984,1984,1984,Descriptive date
270,NA,Feb 1986,Descriptive year,1986,1986,1986,Descriptive date
392,NA,1989,Descriptive year,1989,1989,1989,Descriptive date
3,NA,August 1989,Descriptive year,1989,1989,1989,Descriptive date
296,NA,1991,Descriptive year,1991,1991,1991,Descriptive date
2,NA,1992,Descriptive year,1992,1992,1992,Descriptive date
75,NA,February 1992,Descriptive year,1992,1992,1992,Descriptive date
234,NA,February 1992,Descriptive year,1992,1992,1992,Descriptive date
389,NA,October 1993,Descriptive year,1993,1993,1993,Descriptive date
105,NA,1994,Descriptive year,1994,1994,1994,Descriptive date
227,NA,1994,Descriptive year,1994,1994,1994,Descriptive date
92,NA,January 1995,Descriptive year,1995,1995,1995,Descriptive date
108,NA,1997,Descriptive year,1997,1997,1997,Descriptive date
224,NA,1997,Descriptive year,1997,1997,1997,Descriptive date
166,NA,March 1997,Descriptive year,1997,1997,1997,Descriptive date
281,NA,1998,Descriptive year,1998,1998,1998,Descriptive date
282,NA,1998,Descriptive year,1998,1998,1998,Descriptive date
432,NA,1998,Descriptive year,1998,1998,1998,Descriptive date
167,NA,February 1998,Descriptive year,1998,1998,1998,Descriptive date
286,NA,September 1998,Descriptive year,1998,1998,1998,Descriptive date
433,NA,1999,Descriptive year,1999,1999,1999,Descriptive date
246,NA,2000,Descriptive year,2000,2000,2000,Descriptive date
284,NA,2000,Descriptive year,2000,2000,2000,Descriptive date
452,NA,11 to 15 June 2001,Descriptive year,2001,2001,2001,Descriptive date
245,NA,2001,Descriptive year,2001,2001,2001,Descriptive date
4,NA,August 2001,Descriptive year,2001,2001,2001,Descriptive date
237,NA,August 2001,Descriptive year,2001,2001,2001,Descriptive date
169,NA,July 2001,Descriptive year,2001,2001,2001,Descriptive date
181,NA,July 2001,Descriptive year,2001,2001,2001,Descriptive date
168,NA,August 2002,Descriptive year,2002,2002,2002,Descriptive date
239,NA,September 2002,Descriptive year,2002,2002,2002,Descriptive date
244,NA,August 2003,Descriptive year,2003,2003,2003,Descriptive date
269,NA,August 2003,Descriptive year,2003,2003,2003,Descriptive date
249,NA,"December, 2003",Descriptive year,2003,2003,2003,Descriptive date
390,NA,April 2005 (Easter weekend),Descriptive year,2005,2005,2005,Descriptive date
256,NA,April? 2006,Descriptive year,2006,2006,2006,Descriptive date
289,NA,December 2006?,Descriptive year,2006,2006,2006,Descriptive date
253,NA,"January 2 or 4, 2006",Descriptive year,2006,2006,2006,Descriptive date
242,NA,March 2006,Descriptive year,2006,2006,2006,Descriptive date
471,NA,2007,Descriptive year,2007,2007,2007,Descriptive date
479,NA,2007,Descriptive year,2007,2007,2007,Descriptive date
490,NA,2007,Descriptive year,2007,2007,2007,Descriptive date
491,NA,2007,Descriptive year,2007,2007,2007,Descriptive date
492,NA,2007,Descriptive year,2007,2007,2007,Descriptive date
517,NA,2008,Descriptive year,2008,2008,2008,Descriptive date
290,NA,February 2008,Descriptive year,2008,2008,2008,Descriptive date
406,NA,reported on 10 Jan 2006,Reporting date only,NA,NA,NA,No single usable year
285,NA,reporting date 15 Sept 1998,Reporting date only,NA,NA,NA,No single usable year
