large_area_clean,ocean_basin,number_of_records
Atlantic Ocean - North,Atlantic Ocean,206
Pacific Ocean - North,Pacific Ocean,107
Atlantic Ocean - Mediterranean Sea,Atlantic Ocean,72
Pacific Ocean - South,Pacific Ocean,62
Atlantic Ocean - South,Atlantic Ocean,19
Indian Ocean,Indian Ocean,15
Pacific Ocean - Tasman Sea,Pacific Ocean,11
Pacific Ocean - Coral Sea,Pacific Ocean,7
Unknown,Unknown,6
Atlantic Ocean - Caribbean Sea,Atlantic Ocean,5
Pacific Ocean - Sea of Japan/East Sea,Pacific Ocean,5
Atlantic Ocean - English Channel,Atlantic Ocean,3
Atlantic Ocean - Gulf of Mexico,Atlantic Ocean,3
Atlantic Ocean - North Sea,Atlantic Ocean,3
Southern Ocean,Southern Ocean,3
Arctic Ocean,Arctic Ocean,2
Atlantic Ocean - Ligurian Sea,Atlantic Ocean,2
Pacific Ocean - Yellow Sea,Pacific Ocean,2
Arctic Ocean - Davis Strait,Arctic Ocean,1
Atlantic Ocean - Argentine Sea,Atlantic Ocean,1
Atlantic Ocean - Irish Sea,Atlantic Ocean,1
Indian Ocean - Bay of Bengal,Indian Ocean,1
Indian Ocean - Red Sea,Indian Ocean,1
