species_analysis_name,reported_strikes,known_outcomes,documented_deaths,non_fatal_known_outcomes,fatality_proportion,fatality_ci_lower,fatality_ci_upper,outcome_coverage
Balaenoptera musculus,10,7,7,0,1,0.6456695649333126,1,0.7
Balaenoptera omurai,6,5,5,0,1,0.5655175352168254,1,0.8333333333333334
Balaenoptera physalus,126,62,55,7,0.8870967741935484,0.7848025794735822,0.9442213647060003,0.49206349206349204
Eubalaena australis,26,12,9,3,0.75,0.4676946650664344,0.9110583316059453,0.46153846153846156
Eubalaena glacialis,53,10,7,3,0.7,0.39677814746114537,0.8922087325936989,0.18867924528301888
Physeter macrocephalus,29,12,8,4,0.6666666666666666,0.39062208887279953,0.8618799089087867,0.41379310344827586
Orcinus orca,10,5,3,2,0.6,0.23072428127601297,0.8823792257673521,0.5
Balaenoptera acutorostrata,18,7,4,3,0.5714285714285714,0.25045836452765724,0.8417801447485302,0.3888888888888889
Eschrichtius robustus,13,7,4,3,0.5714285714285714,0.25045836452765724,0.8417801447485302,0.5384615384615384
Megaptera novaeangliae,120,38,15,23,0.39473684210526316,0.2559807574816011,0.5528213200395745,0.31666666666666665
