species_analysis_name,known_outcomes,documented_deaths,fatality_proportion,confirmed_known_outcomes,confirmed_deaths,confirmed_fatality_proportion,fatality_difference
Balaenoptera physalus,62,55,0.8870967741935484,55,48,0.8727272727272727,-0.014369501466275691
Megaptera novaeangliae,38,15,0.39473684210526316,28,11,0.39285714285714285,-0.0018796992481203145
Physeter macrocephalus,12,8,0.6666666666666666,11,7,0.6363636363636364,-0.030303030303030276
Eubalaena australis,12,9,0.75,10,7,0.7,-0.050000000000000044
Eubalaena glacialis,10,7,0.7,9,6,0.6666666666666666,-0.033333333333333326
Balaenoptera acutorostrata,7,4,0.5714285714285714,6,3,0.5,-0.0714285714285714
Eschrichtius robustus,7,4,0.5714285714285714,6,4,0.6666666666666666,0.09523809523809523
Balaenoptera musculus,7,7,1,7,7,1,0
Orcinus orca,5,3,0.6,5,3,0.6,0
Balaenoptera omurai,5,5,1,2,2,1,0
Balaenoptera borealis,4,4,1,3,3,1,0
Balaenoptera edeni,2,2,1,2,2,1,0
Globicephala macrorhynchus,1,1,1,NA,NA,NA,NA
Stenella frontalis,1,0,0,1,0,0,0
Tursiops truncatus,1,0,0,NA,NA,NA,NA
Cephalorhynchus hectori,0,0,NA,NA,NA,NA,NA
Kogia breviceps,0,0,NA,NA,NA,NA,NA
Balaena mysticetus,0,0,NA,NA,NA,NA,NA
Ziphius cavirostris,0,0,NA,NA,NA,NA,NA
Caperea marginata,0,0,NA,NA,NA,NA,NA
Mesoplodon bidens,0,0,NA,NA,NA,NA,NA
Mesoplodon grayi,0,0,NA,NA,NA,NA,NA
Mesoplodon hectori,0,0,NA,NA,NA,NA,NA
Sousa chinensis,0,0,NA,NA,NA,NA,NA
Stenella longirostris,0,0,NA,NA,NA,NA,NA
