species_analysis_name,reported_strikes,frequency_rank,confirmed_identifications,confirmed_reported_strikes,confirmed_frequency_rank,rank_change
Balaenoptera physalus,126,1,108,108,1,0
Megaptera novaeangliae,120,2,97,97,2,0
Eubalaena glacialis,53,3,51,51,3,0
Physeter macrocephalus,29,4,27,27,4,0
Eubalaena australis,26,5,23,23,5,0
Balaenoptera acutorostrata,18,6,13,13,6,0
Eschrichtius robustus,13,7,11,11,7,0
Balaenoptera edeni,10,8,9,9,9,1
Balaenoptera musculus,10,9,10,10,8,-1
Orcinus orca,10,10,9,9,9,-1
Balaenoptera borealis,8,11,7,7,11,0
Balaenoptera omurai,6,12,3,3,13,1
Cephalorhynchus hectori,4,13,4,4,12,-1
Kogia breviceps,3,14,3,3,13,-1
Balaena mysticetus,2,15,2,2,15,0
Ziphius cavirostris,2,16,2,2,15,-1
Caperea marginata,1,17,1,1,17,0
Globicephala macrorhynchus,1,18,0,0,NA,NA
Mesoplodon bidens,1,19,1,1,17,-2
Mesoplodon grayi,1,20,1,1,17,-3
Mesoplodon hectori,1,21,1,1,17,-4
Sousa chinensis,1,22,1,1,17,-5
Stenella frontalis,1,23,1,1,17,-6
Stenella longirostris,1,24,1,1,17,-7
Tursiops truncatus,1,25,0,0,NA,NA
