species_analysis_name,reported_strikes,confirmed_identifications,known_outcomes,unknown_outcomes,documented_deaths,non_fatal_known_outcomes,confirmed_identification_proportion,outcome_coverage,fatality_proportion,frequency_rank,fatality_ci_lower,fatality_ci_upper
Balaenoptera physalus,126,108,62,64,55,7,0.8571428571428571,0.49206349206349204,0.8870967741935484,1,0.7848025794735822,0.9442213647060003
Megaptera novaeangliae,120,97,38,82,15,23,0.8083333333333333,0.31666666666666665,0.39473684210526316,2,0.2559807574816011,0.5528213200395745
Eubalaena glacialis,53,51,10,43,7,3,0.9622641509433962,0.18867924528301888,0.7,3,0.39677814746114537,0.8922087325936989
Physeter macrocephalus,29,27,12,17,8,4,0.9310344827586207,0.41379310344827586,0.6666666666666666,4,0.39062208887279953,0.8618799089087867
Eubalaena australis,26,23,12,14,9,3,0.8846153846153846,0.46153846153846156,0.75,5,0.4676946650664344,0.9110583316059453
Balaenoptera acutorostrata,18,13,7,11,4,3,0.7222222222222222,0.3888888888888889,0.5714285714285714,6,0.25045836452765724,0.8417801447485302
Eschrichtius robustus,13,11,7,6,4,3,0.8461538461538461,0.5384615384615384,0.5714285714285714,7,0.25045836452765724,0.8417801447485302
Balaenoptera edeni,10,9,2,8,2,0,0.9,0.2,1,8,0.3423802275066532,1
Balaenoptera musculus,10,10,7,3,7,0,1,0.7,1,9,0.6456695649333126,1
Orcinus orca,10,9,5,5,3,2,0.9,0.5,0.6,10,0.23072428127601297,0.8823792257673521
Balaenoptera borealis,8,7,4,4,4,0,0.875,0.5,1,11,0.5101091635454027,1
Balaenoptera omurai,6,3,5,1,5,0,0.5,0.8333333333333334,1,12,0.5655175352168254,1
Cephalorhynchus hectori,4,4,0,4,0,0,1,0,NA,13,NA,NA
Kogia breviceps,3,3,0,3,0,0,1,0,NA,14,NA,NA
Balaena mysticetus,2,2,0,2,0,0,1,0,NA,15,NA,NA
Ziphius cavirostris,2,2,0,2,0,0,1,0,NA,16,NA,NA
Caperea marginata,1,1,0,1,0,0,1,0,NA,17,NA,NA
Globicephala macrorhynchus,1,0,1,0,1,0,0,1,1,18,0.20654931437723745,1
Mesoplodon bidens,1,1,0,1,0,0,1,0,NA,19,NA,NA
Mesoplodon grayi,1,1,0,1,0,0,1,0,NA,20,NA,NA
Mesoplodon hectori,1,1,0,1,0,0,1,0,NA,21,NA,NA
Sousa chinensis,1,1,0,1,0,0,1,0,NA,22,NA,NA
Stenella frontalis,1,1,1,0,0,1,1,1,0,23,0,0.7934506856227626
Stenella longirostris,1,1,0,1,0,0,1,0,NA,24,NA,NA
Tursiops truncatus,1,0,1,0,0,1,0,1,0,25,0,0.7934506856227626
